Method,Accuracy,Correct,Total
Backward_GroupLasso,74.16666666666667,89,120
RPA,74.16666666666667,89,120
EU,65.83333333333333,79,120
SR,62.5,75,120
Forward_Sinkhorn,60.83333333333333,73,120
Forward_GroupLasso,59.166666666666664,71,120
Backward_Sinkhorn,59.166666666666664,71,120
SC,54.166666666666664,65,120
