Method,Accuracy,Correct,Total
EU,92.5,111,120
Forward_GroupLasso,91.66666666666666,110,120
Backward_GroupLasso,89.16666666666667,107,120
SC,88.33333333333333,106,120
Backward_Sinkhorn,88.33333333333333,106,120
RPA,86.66666666666667,104,120
SR,85.83333333333333,103,120
Forward_Sinkhorn,84.16666666666667,101,120
