Method,Accuracy,Correct,Total
RPA,93.33333333333333,112,120
Backward_GroupLasso,86.66666666666667,104,120
EU,85.0,102,120
SR,71.66666666666667,86,120
Forward_Sinkhorn,70.0,84,120
Forward_GroupLasso,69.16666666666667,83,120
SC,67.5,81,120
Backward_Sinkhorn,64.16666666666667,77,120
