Method,Accuracy,Correct,Total
SR,93.33333333333333,112,120
Forward_GroupLasso,91.66666666666666,110,120
RPA,91.66666666666666,110,120
Forward_Sinkhorn,90.83333333333333,109,120
SC,90.0,108,120
EU,90.0,108,120
Backward_GroupLasso,84.16666666666667,101,120
Backward_Sinkhorn,83.33333333333334,100,120
