Method,Accuracy,Correct,Total
RPA,99.16666666666667,119,120
EU,99.16666666666667,119,120
SR,97.5,117,120
Forward_Sinkhorn,95.83333333333334,115,120
Forward_GroupLasso,95.0,114,120
Backward_GroupLasso,94.16666666666667,113,120
SC,93.33333333333333,112,120
Backward_Sinkhorn,93.33333333333333,112,120
