Method,Mean_Accuracy,Std_Accuracy
SC,78.22916666666666,15.186914140506328
SR,81.56250000000001,14.587159362054294
RPA,89.99999999999999,8.428033343060884
EA,87.8125,10.910326221244178
FOTDA-S,79.47916666666667,14.260456341904531
FOTDA-GL,80.41666666666666,14.406237626100802
BOTDA-S,79.16666666666667,14.04358295529393
BOTDA-GL,88.125,8.668841302262347
