trial,SC,SR,Forward_Sinkhorn,Forward_GroupLasso,Backward_Sinkhorn,Backward_GroupLasso,RPA,EU
1,4.6375003876164556e-05,0.20327629199891817,0.03932233399245888,0.0012119160091970116,0.012081499997293577,0.026208249997580424,5.116700416998356,0.25367487499897834
2,4.5208013034425676e-05,0.18807004200061783,0.06375737499911338,0.0011439999943831936,0.01126454200129956,0.025840415997663513,5.072661166006583,0.2548899999965215
3,4.6792003558948636e-05,0.18787975001032464,0.0363247500063153,0.001125583003158681,0.009753708000062034,0.025383375003002584,4.853952709003352,0.24815524999576155
4,4.470799467526376e-05,0.19435970899940003,0.06418079099967144,0.0011702079937094823,0.012373124991427176,0.025659207996795885,5.130577957999776,0.24810341699048877
5,4.5791995944455266e-05,0.18765637499745935,0.03745433299627621,0.0011591660004341975,0.009908207997796126,0.02558508400397841,4.960721625000588,0.24691987500409596
6,4.6250002924352884e-05,0.2105943749920698,0.037375041996710934,0.0011680000025080517,0.008594582992373034,0.025343834000523202,5.448221375001594,0.25190712499897927
7,4.600000102072954e-05,0.1864836659951834,0.049465457996120676,0.0011465830029919744,0.00753662500937935,0.02566766701056622,5.012518916992121,0.2695257080049487
8,5.108299956191331e-05,0.20670891599729657,0.0659747919999063,0.0012003750016447157,0.006797125010052696,0.025578041997505352,5.202447250005207,0.27336795900191646
9,4.600000102072954e-05,0.18624820798868313,0.04695358299068175,0.0011467909935163334,0.006130707988631912,0.02548558299895376,5.463881292002043,0.263387375001912
10,4.966599226463586e-05,0.1937769170035608,0.03872162499465048,0.001243457998498343,0.008116917000734247,0.025771500004339032,4.95113429200137,0.26986187500006054
11,6.687499990221113e-05,0.22232937499938998,0.0383211660082452,0.002630375005537644,0.0071667500014882535,0.026879708006163128,5.003190832998371,0.2696866250043968
12,4.733300011139363e-05,0.1892599999991944,0.0363799159968039,0.001152625001850538,0.006887416006065905,0.026035499991849065,4.910267207989818,0.2708299999940209
13,4.862500645685941e-05,0.19498458299494814,0.06106766599987168,0.0012073329999111593,0.008299499997519888,0.025971540992031805,4.738594084003125,0.2732144580077147
14,4.65829944005236e-05,0.1877683749917196,0.03400358300132211,0.0012122079933760688,0.006280959001742303,0.02594070800114423,4.8579094169981545,0.2952808330010157
15,5.5500000598840415e-05,0.19001766700239386,0.04532966601254884,0.0011738750035874546,0.008312749996548519,0.025694666997878812,4.792986792002921,0.27497187499830034
16,4.795800487045199e-05,0.19321837500319816,0.04700483400665689,0.0012128750095143914,0.00841249999939464,0.0244597499986412,4.825497207988519,0.26363458299601916
17,4.7666995669715106e-05,0.187697333007236,0.0404956660058815,0.00116695900214836,0.008406416993238963,0.026176333994953893,4.853314667008817,0.2779247500002384
18,4.5958004193380475e-05,0.19000074999348726,0.05333637500007171,0.001179124999907799,0.007765125003061257,0.026049457999761216,4.742323500002385,0.27662208300898783
19,5.062500713393092e-05,0.19061408400011715,0.06206137499248143,0.0011758749897126108,0.007126084004994482,0.02614354100660421,4.461903083996731,0.2733661249949364
20,5.116700776852667e-05,0.18851995801378507,0.06496195800718851,0.0012047920026816428,0.00850949999585282,0.025969708993216045,4.222996249998687,0.26917945900640916
21,4.7999987145885825e-05,0.21318387500650715,0.060824291009339504,0.0012568749953061342,0.007566582993604243,0.027772666988312267,4.717252207992715,0.29921299999114126
22,4.675000673159957e-05,0.18791187499300577,0.07125783299852628,0.0013618749944726005,0.0072250420053023845,0.02609229199879337,4.711548332998063,0.28750541699992027
23,4.949999856762588e-05,0.19094945798860863,0.051724792007007636,0.0012079159932909533,0.007240666993311606,0.025751832989044487,4.466741666008602,0.2781561659940053
24,4.4792002881877124e-05,0.1884465830080444,0.07045441700029187,0.001226167005370371,0.007335208996664733,0.025426250009331852,4.470976208001957,0.27838187500310596
25,4.650000482797623e-05,0.18858337499841582,0.05920641699049156,0.0012335840001469478,0.00797845798661001,0.025320583998109214,4.341892874988844,0.29437183299160097
26,4.966699634678662e-05,0.18824745899473783,0.047544166998704895,0.0012283329997444525,0.008090166011243127,0.025803084005019628,4.494542125001317,0.2898274170001969
27,4.904200613964349e-05,0.1925555420020828,0.05047966699930839,0.0012285839911783114,0.0081040840013884,0.025927416994818486,4.492674416003865,0.28475916699972004
28,4.966699634678662e-05,0.19040062499698251,0.06879516701155808,0.0012776670046150684,0.00820108299376443,0.026340750002418645,4.297654458001489,0.2908578339993255
29,4.620800609700382e-05,0.1878395410021767,0.056875084002967924,0.001310291001573205,0.00893341600021813,0.026141292008105665,4.085620041994844,0.29723908299638424
30,4.6542001655325294e-05,0.18893400000524707,0.06642300001112744,0.0012449170026229694,0.008939708000980318,0.02621033400646411,4.3248325000022305,0.30135312500351574
31,4.695799725595862e-05,0.21794995799427852,0.07424279100087006,0.001290500003960915,0.009542624989990145,0.027246540994383395,4.088684957998339,0.30346549999376293
32,4.720799915958196e-05,0.19085674999223556,0.06807558299624361,0.0012553750129882246,0.009924041994963773,0.025839708992862143,4.093744416997652,0.2860225410113344
33,4.762499884236604e-05,0.1915808339981595,0.07213862499338575,0.0012250830041011795,0.009789875010028481,0.026327625004341826,4.053601041989168,0.2970820000045933
34,4.7416004235856235e-05,0.18963670800440013,0.07238920900272205,0.0012329169985605404,0.009739957997226156,0.02584016599575989,4.0972055419988465,0.30648424998798873
35,4.674999217968434e-05,0.19702762499218807,0.0681678330001887,0.0012488749925978482,0.009807375012314878,0.026522666987148114,4.03457662499568,0.29686400000355206
36,4.6375003876164556e-05,0.18910620799579192,0.05393400001048576,0.0012455420073820278,0.009922791999997571,0.02656229199783411,4.153661958000157,0.3003699999972014
37,4.774999979417771e-05,0.19315866600663867,0.07065945799695328,0.0012353750062175095,0.009892292000586167,0.026826083005289547,4.013942167002824,0.32215991700650193
38,5.370799044612795e-05,0.18800320899754297,0.0614080829982413,0.0012460419966373593,0.009960249997675419,0.026309583001420833,4.196639666988631,0.3250053750089137
39,4.7084002289921045e-05,0.19409570899733808,0.07756016700295731,0.001494500000262633,0.009963874996174127,0.026010959001723677,4.08870104199741,0.3193048329994781
40,5.2333009080030024e-05,0.1966718750045402,0.07145858400326688,0.0012637079926207662,0.01023462500597816,0.02582783300022129,3.8938922920060577,0.3131582089990843
41,5.1000009989365935e-05,0.2112820830079727,0.07365024999307934,0.0012959590094396845,0.0098463750036899,0.027084916000603698,4.093467084006988,0.32320987500133924
42,4.716699186246842e-05,0.19132108399935532,0.06763150000188034,0.0013258749968372285,0.009500792002654634,0.026206624999758787,4.000792292004917,0.3085948340012692
43,4.67080099042505e-05,0.18944491700676735,0.06480170799477492,0.0012556669971672818,0.009408375000930391,0.025813875006861053,4.259507082999335,0.3215022500080522
44,5.6791992392390966e-05,0.21731966600054875,0.07711445800669026,0.0013228330062702298,0.009848916990449652,0.026488208008231595,4.203442541998811,0.3300707500020508
45,5.429099837783724e-05,0.20408895899890922,0.07525970801361836,0.001315457993769087,0.009671917010564357,0.026818375001312234,4.1933542500046315,0.3239532089937711
46,5.079199036117643e-05,0.19711770799767692,0.06157254200661555,0.0013072079891571775,0.009528875001706183,0.026151666999794543,4.108568499999819,0.31845745800819714
47,4.73749969387427e-05,0.19227716600289568,0.05105949999415316,0.0012784580030711368,0.009577832999639213,0.02523112499329727,4.027409416987211,0.3076933749980526
48,4.854198778048158e-05,0.18932250000943895,0.06444233299407642,0.0012777919910149649,0.009802458007470705,0.02601041700108908,4.148489915998653,0.32546116701269057
49,4.65829944005236e-05,0.1872388749907259,0.07389208298991434,0.0012702919921139255,0.00885083399771247,0.025127375003648922,3.99988845900225,0.3198859590047505
50,4.749999789055437e-05,0.18961320898961276,0.07637329200224485,0.001299667012062855,0.008892750003724359,0.026264375002938323,4.1621155830071075,0.32457695799530484
51,7.583299884572625e-05,0.21539337499416433,0.0689272500021616,0.0014734579890500754,0.011273833995801397,0.027104540989967063,4.140482875009184,0.3314967920014169
52,5.2167000831104815e-05,0.18927620799513534,0.05876208399422467,0.001385416995617561,0.008990666989120655,0.02626712499477435,4.075647332996596,0.34585404199606273
53,5.083299765828997e-05,0.19477220800763462,0.06712170799437445,0.001316958005190827,0.00893625000026077,0.026701875001890585,4.1459335000108695,0.31325904199911747
54,4.787500074598938e-05,0.191073709007469,0.0694190000067465,0.001309333005337976,0.009010791996843182,0.02507958399655763,4.059631124997395,0.3158719170023687
55,4.787500074598938e-05,0.18844145799812395,0.06141129099705722,0.0013065829989500344,0.009056124996277504,0.02619050000794232,4.110818874993129,0.32163695800409187
56,4.6832996304146945e-05,0.19623908300127368,0.07949070799804758,0.0013306250039022416,0.009285167005145922,0.025900749998982064,4.073566082995967,0.3365416250017006
57,5.1292008720338345e-05,0.18855449999682605,0.07252633299503941,0.0013168330042390153,0.009136541993939318,0.026981957998941652,4.155615916999523,0.3459712500043679
58,5.0417002057656646e-05,0.1938159999990603,0.0778520840103738,0.0013034169969614595,0.009148666998953559,0.02619387498998549,4.169619124993915,0.3227889999980107
59,4.7958994400687516e-05,0.18700429200544022,0.07063541701063514,0.0013132080057403073,0.009956708003301173,0.02611345800687559,4.14075341699936,0.3477730419981526
60,4.804199852515012e-05,0.19556754099903628,0.0758428749977611,0.0013588330039056018,0.009181540997815318,0.025978165998822078,3.9818464999989374,0.3250680829951307
61,4.883299698121846e-05,0.20842104199982714,0.0721854169969447,0.001453959004720673,0.009787834002054296,0.028154583007562906,4.089803958995617,0.3556356670014793
62,5.0125003326684237e-05,0.2025415419921046,0.07095612499688286,0.001736165999318473,0.009364166005980223,0.028006374996039085,3.89769441599492,0.3292253750114469
63,4.650000482797623e-05,0.18770987499738112,0.07307920799939893,0.0013317920092958957,0.009341165990917943,0.02625675000308547,4.063849166006548,0.34856929200759623
64,5.179100844543427e-05,0.20123937500466127,0.06238920800387859,0.0013398750015767291,0.009585499996319413,0.026083457996719517,4.238244082996971,0.33899079100228846
65,4.8582995077595115e-05,0.1945243340014713,0.06891987500421237,0.0016142499953275546,0.009480875000008382,0.027461417004815303,4.102609749999829,0.3569888749916572
66,4.854099825024605e-05,0.19739995799318422,0.061330790995270945,0.0013559590006479993,0.009449000004678965,0.025650417010183446,4.110399707991746,0.3344364160002442
67,4.720799915958196e-05,0.20064524999179412,0.06566733300860506,0.0015803749993210658,0.009466624993365258,0.027601291993050836,4.054718833998777,0.3580399999918882
68,4.870900011155754e-05,0.2111319999967236,0.07774141700065229,0.001528375010821037,0.01016991700453218,0.028287791006732732,4.209929707998526,0.3603365839953767
