Subject,SC,SR,RPA,EA,FOTDA-S,FOTDA-GL,BOTDA-S,BOTDA-GL
subject_01,88.33333333333333,85.83333333333333,86.66666666666667,92.5,84.16666666666667,91.66666666666666,88.33333333333333,89.16666666666667
subject_02,54.166666666666664,62.5,74.16666666666667,65.83333333333333,60.83333333333333,59.166666666666664,59.166666666666664,74.16666666666667
subject_03,93.33333333333333,97.5,99.16666666666667,99.16666666666667,95.83333333333334,95.0,93.33333333333333,94.16666666666667
subject_05,67.5,71.66666666666667,93.33333333333333,85.0,70.0,69.16666666666667,64.16666666666667,86.66666666666667
subject_06,62.5,62.5,82.5,80.0,64.16666666666667,65.0,68.33333333333333,80.0
subject_07,77.5,81.66666666666667,95.0,91.66666666666666,73.33333333333333,78.33333333333333,79.16666666666666,97.5
subject_08,92.5,97.5,97.5,98.33333333333333,96.66666666666667,93.33333333333333,97.5,99.16666666666667
subject_09,90.0,93.33333333333333,91.66666666666666,90.0,90.83333333333333,91.66666666666666,83.33333333333334,84.16666666666667
