trial,CSP_LDA,CSP_LDA_BOTDA,EEGNet,EEGNet_FT,EEGNet_BOTDA
1,0.0003188619957654737,0.06324468800448813,0.0013928679982200265,0.023394186006044038,0.07472579800378298
2,0.0002588099960121326,0.057730368003831245,0.0013399349991232157,0.017200198999489658,0.07542391899914946
3,0.00026907100254902616,0.05053191999468254,0.0013761700029135682,0.023677851000684313,0.09585470800084295
4,0.00031911399855744094,0.050853161003033165,0.001546049999888055,0.023534666004707105,0.08645480099949054
5,0.00026350700500188395,0.05316655500064371,0.0014384329988388345,0.036626364999392536,0.07446673999947961
6,0.00025809500220930204,0.050555010995594785,0.0011200489971088246,0.023865919996751472,0.10899119600071572
7,0.0002670969988685101,0.04815249999955995,0.0012711919989669695,0.019390818997635506,0.07435943900054554
8,0.00030708100530318916,0.04699378100485774,0.0012964790003024973,0.019200071998056956,0.07877545299561461
9,0.00026899599470198154,0.040430581000691745,0.0013109739957144484,0.017833653997513466,0.0750643650026177
10,0.000257559004239738,0.04270993899990572,0.0012007229961454868,0.017252714998903684,0.07469487500202376
11,0.0002768830017885193,0.047824089000641834,0.0014471569957095198,0.01760304200433893,0.07551221900212113
12,0.00027075500111095607,0.04538980899815215,0.0013416849978966638,0.017127621998952236,0.07474535700021079
13,0.0002719250041991472,0.042444769002031535,0.0013189399978728034,0.019689883003593422,0.075791618997755
14,0.00027359100204193965,0.04558016599912662,0.0013385560014285147,0.01831516200036276,0.07494702099938877
15,0.00027325299743097275,0.04786819099535933,0.0013466960008372553,0.019446489000984002,0.07484554999973625
16,0.00026703700132202357,0.04460601399478037,0.0013150080048944801,0.019727364997379482,0.07691641600104049
17,0.000273083001957275,0.04713706899929093,0.0013462369970511645,0.019719085001270287,0.07692412799951853
18,0.0003202009975211695,0.052609647005738225,0.0013990890001878142,0.017851652002718765,0.07794773099885788
19,0.0002694020004128106,0.060134014005598146,0.0012931689998367801,0.017110025000874884,0.07546350799384527
20,0.00025198200455633923,0.06122812999819871,0.0012382380009512417,0.017182879004394636,0.17308993999904487
21,0.00038452599983429536,0.09416243199666496,0.0014552869979524985,0.017601110004761722,0.07528790699871024
22,0.00027069600037066266,0.05844937200163258,0.0013109569990774617,0.017455963999964297,0.0754408799984958
23,0.00029212999652372673,0.059241776005364954,0.0012978939994354732,0.01706999599991832,0.07556074199965224
24,0.0002683749989955686,0.05839050799841061,0.0012791549961548299,0.016946379997534677,0.07573371299804421
25,0.0002601950036478229,0.06105432100594044,0.001191018003737554,0.016998439001326915,0.07568116000038572
26,0.0002667620065039955,0.06378004499856615,0.0012901369991595857,0.017143563003628515,0.07579923100274755
27,0.00025228400045307353,0.05683473899989622,0.0010970250004902482,0.016869555998709984,0.07632413700048346
28,0.000272829995083157,0.05978680399857694,0.0011394309985917062,0.017105876002460718,0.07626091100246413
29,0.0002808439967338927,0.059413614006189164,0.001271934001124464,0.016875367000466213,0.07715765099419514
30,0.00027491399669088423,0.060266291999141686,0.0012606410018634051,0.01681195000128355,0.07643772799929138
31,0.00028310200286796317,0.05711528300162172,0.001282524004636798,0.016960897999524605,0.07614405299682403
32,0.0002518210021662526,0.057179741001164075,0.0012770219982485287,0.016790975001640618,0.07662133600388188
33,0.00025674200151115656,0.05291158200270729,0.0013176709981053136,0.016803797996544745,0.0769250049997936
34,0.0002670250032679178,0.05438395900273463,0.0012262780001037754,0.02014736700220965,0.07718985399696976
35,0.0002860349995899014,0.050030886006425135,0.0012446830005501397,0.017112076995545067,0.07703463499638019
36,0.00030639400210930035,0.048894821004068945,0.001419336003891658,0.017378735006786883,0.07750826299889013
37,0.00027119799779029563,0.05831378999573644,0.0012566980003612116,0.0169432849943405,0.07762276300491067
38,0.0002629750015330501,0.054018337999877986,0.0012777809970430098,0.017081136000342667,0.07745817999966675
39,0.0002875050049624406,0.054525302002730314,0.001163070002803579,0.017240228997252416,0.07876917700195918
40,0.00025853500119410455,0.04736541800230043,0.0011734110012184829,0.016941698995651677,0.0772110249963589
41,0.00025675399956526235,0.053427409002324566,0.0011190989971510135,0.0167481999960728,0.0776543060055701
42,0.00026684399927034974,0.05167576699750498,0.00131825700373156,0.017043883999576792,0.07797376900271047
43,0.0002795509935822338,0.052060731999517884,0.0012060619992553256,0.01805711600172799,0.07878112400067039
44,0.0002931440030806698,0.051345470994419884,0.0014012150058988482,0.016945281000516843,0.09003539599507349
45,0.00028250600007595494,0.05259820599894738,0.0012937179999426007,0.01738465800008271,0.07898416299576638
46,0.00030485200113616884,0.050865719000285026,0.0014454109987127595,0.01701405900530517,0.0783235449998756
47,0.00027273600426269695,0.054212096001720056,0.001217530996655114,0.016764538006100338,0.10369574000651482
48,0.00028899800236104056,0.060763380002754275,0.0014406330010388047,0.017292516997258645,0.0777954920049524
49,0.0002835300037986599,0.05155951499909861,0.0011270940012764186,0.017300505001912825,0.07902387800277211
50,0.0002779560018097982,0.057900248997611925,0.0011673779954435304,0.017033903997798916,0.07845839399669785
51,0.0002504009971744381,0.04867505499714753,0.0010533219974604435,0.016599925998889375,0.07880801499413792
52,0.00026287399668945,0.05754338700353401,0.0012331670004641637,0.017012193995469715,0.07842829399305629
53,0.00028818700229749084,0.05959709099988686,0.0014465380008914508,0.01687388600112172,0.08006203100376297
54,0.0002918480022344738,0.06749363300332334,0.0013865369983250275,0.01699039700179128,0.07961623500159476
55,0.00030336099734995514,0.0652880300040124,0.0014013600011821836,0.017164559998491313,0.07876669699908234
56,0.000275365004199557,0.06475018300261581,0.001205583001137711,0.01704238499951316,0.07915102499828208
