Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
EEGNet_BOTDA,88.33333333333333,88.33333333333333,0.7666666666666666,106,120
CSP_LDA_BOTDA,83.33333333333334,83.33333333333333,0.6666666666666667,100,120
EEGNet_FT,82.5,82.5,0.65,99,120
CSP_LDA,76.66666666666667,76.66666666666666,0.5333333333333333,92,120
EEGNet,75.0,75.0,0.5,90,120
