trial,CSP_LDA,CSP_LDA_BOTDA,EEGNet,EEGNet_FT,EEGNet_BOTDA
1,0.00027799799954664195,0.062017434000154026,0.001133489000494592,0.007863099000132934,0.008365204999790876
2,0.00023991099988052156,0.06206794799982163,0.0012270879997231532,0.00790452399996866,0.008272363000287442
3,0.00023022400000627385,0.05454991099941253,0.0009971830004360527,0.00739458000043669,0.008260539999355387
4,0.00021124099930602824,0.0530477760003123,0.0009817709997150814,0.0074408319997019134,0.008087467000223114
5,0.0002048920005108812,0.05588997199993173,0.0009848429999692598,0.007428793000144651,0.025622045999625698
6,0.0002103770002577221,0.05349653099983698,0.001005197000267799,0.0076675050004269,0.008336214999872027
7,0.00020953900002496084,0.060919470000044385,0.000980349000201386,0.0075876210003116284,0.01529122899955837
8,0.00020978900010959478,0.051696167000045534,0.0013381960006881854,0.007700336999732826,0.01778545999968628
9,0.0002062640005533467,0.05753389099936612,0.0010187489997406374,0.00775894700018398,0.008277120999991894
10,0.00022994899973127758,0.05458614700000908,0.0011071130002164864,0.007770043000164151,0.008322845000293455
11,0.00023136299932957627,0.053180573999270564,0.0010140770000361954,0.007713823999438318,0.015440834000401082
12,0.00021123500027897535,0.04651111199927982,0.0010198459995081066,0.008205260000067938,0.00850866800010408
13,0.0002643960006025736,0.049256035999860615,0.0011340970004312112,0.00796299400008138,0.008480446999783453
14,0.00023872199926699977,0.05000076699980127,0.0011023789993487298,0.01022302299952571,0.010672678999981144
15,0.00022594100028072717,0.05100076100006845,0.001088248000087333,0.007949986000312492,0.008406728000409203
16,0.00022372199964593165,0.05026095700031874,0.0011997729998256546,0.00783336199947371,0.008345750999978918
17,0.00024245599979622057,0.05155009300051461,0.0010911629997281125,0.0075099310006407904,0.027959643999565742
18,0.00022207500023796456,0.04979320900019957,0.0009957200009012013,0.007719623999946634,0.008480219999910332
19,0.00022779099981562467,0.06850101100008033,0.0014434130007430213,0.009417419999408594,0.01595821099999739
20,0.0002513660001568496,0.05162400599965622,0.0012288230000194744,0.008077931000116223,0.016850003999934415
21,0.00023910599975351943,0.05201417400076025,0.0013425650004137424,0.008032336999349354,0.00854690500000288
22,0.0002620570003273315,0.05140508799922827,0.0010485229995538248,0.007711608000136039,0.018227204000140773
23,0.00021551600002567284,0.05056040599993139,0.0011686050002026604,0.00802067399945372,0.03166128399971058
24,0.000250647999564535,0.050248578000719135,0.0012152859999332577,0.008350253999196866,0.008695913000337896
25,0.00023761699958413374,0.04417084099986823,0.001319121000051382,0.0082529359997352,0.031211753000206954
26,0.0002411440000287257,0.04975065800044831,0.0010772879995784024,0.00822490700011258,0.015763306999360793
27,0.00023693799994362053,0.04863702500006184,0.001147996999861789,0.008841278999170754,0.008878425999682804
28,0.00022442699992097914,0.047075038999537355,0.0012527889994089492,0.007888236999860965,0.01386274800006504
29,0.00037889700070081744,0.04964056100016023,0.0013879469997846172,0.008448358999885386,0.019802434000666835
30,0.00024123799994413275,0.04400143500060949,0.0017718600001899176,0.009799135999855935,0.008802729000308318
