Method,Mean_Time,Std_Time
SC,5.077716861402809e-05,1.0283247316037248e-05
SR,0.19473677062912126,0.011641625233986224
RPA,3.8444024571248976,0.3909718852354604
EA,0.34171840823975497,0.05627190873357168
FOTDA-S,0.03346486371163636,0.026038684316365326
FOTDA-GL,0.014040585479005992,0.010698807717424956
BOTDA-S,0.014650671632110316,0.016377894926048586
BOTDA-GL,0.01659057660309974,0.008317319714488715
