Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA_BOTDA,85.0,85.00000000000001,0.7,102,120
EEGNet_FT,62.5,62.5,0.25,75,120
CSP_LDA,60.83333333333333,60.83333333333334,0.21666666666666667,73,120
EEGNet,55.00000000000001,54.99999999999999,0.09999999999999998,66,120
EEGNet_BOTDA,55.00000000000001,55.00000000000001,0.09999999999999998,66,120
