Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA_BOTDA,76.66666666666667,76.66666666666666,0.5333333333333333,92,120
EEGNet_BOTDA,72.5,72.5,0.44999999999999996,87,120
EEGNet_FT,71.66666666666667,71.66666666666667,0.43333333333333335,86,120
EEGNet,64.16666666666667,64.16666666666666,0.2833333333333333,77,120
CSP_LDA,49.166666666666664,49.166666666666664,-0.016666666666666607,59,120
