Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA_BOTDA,79.16666666666666,79.16666666666667,0.5833333333333333,95,120
CSP_LDA,57.49999999999999,57.49999999999999,0.15000000000000002,69,120
EEGNet_FT,51.66666666666667,51.66666666666666,0.033333333333333326,62,120
EEGNet,44.166666666666664,44.166666666666664,-0.1166666666666667,53,120
EEGNet_BOTDA,41.66666666666667,41.66666666666667,-0.16666666666666674,50,120
