trial,CSP_LDA,CSP_LDA_BOTDA,EEGNet,EEGNet_FT,EEGNet_BOTDA
1,0.0002910040057031438,0.029995434000738896,0.0009294660048908554,0.015089069995156024,0.01449916500132531
2,0.00021085800108266994,0.026838763005798683,0.0009287710054195486,0.01595194299443392,0.014712575997691602
3,0.00023388899717247114,0.027023479000490624,0.0010244189979857765,0.01655072599533014,0.01480382099543931
4,0.00023880200023995712,0.026077898000949062,0.000972494002780877,0.015714580003987066,0.015684332996897865
5,0.00021868900512345135,0.025437389995204285,0.0009104989949264564,0.015454307998879813,0.014595371998439077
6,0.00020415600010892376,0.024521412997273728,0.0009697040004539303,0.015318022997234948,0.014640519999375101
7,0.00020935000065946952,0.026732257996627595,0.000981427998340223,0.015789757002494298,0.014758468001673464
8,0.000216653999814298,0.02544188300089445,0.0009650239953771234,0.015729637001641095,0.014747178000106942
9,0.00021045500034233555,0.026498646999243647,0.0010144690022571012,0.015646063999156468,0.014764995001314674
10,0.00020587600010912865,0.025842611998086795,0.0009100869938265532,0.015302119994885288,0.014733105999766849
11,0.00021641100465785712,0.02737851299752947,0.0009523439948679879,0.015705962003266905,0.016268104998744093
12,0.00023274400155059993,0.0420105879966286,0.0013633600028697401,0.018966335002915002,0.014996525998867583
13,0.00023497499933000654,0.026192281999101397,0.000932201997784432,0.015845378002268262,0.014990080999268685
14,0.00021440199634525925,0.026748828000563662,0.0010429969988763332,0.015416435999213718,0.015179881993390154
15,0.0002364430038142018,0.02828737899835687,0.00098290200548945,0.018568457999208476,0.01503480999963358
16,0.00022067000099923462,0.02945567300048424,0.0009392409992869943,0.015214871003990993,0.015000954997958615
17,0.00024662700161570683,0.025966596003854647,0.0009788759998627938,0.015831381002499256,0.015017211997474078
18,0.0002100080018863082,0.02756203099852428,0.00093761199968867,0.015619837999111041,0.015026963999844156
19,0.00020761800260515884,0.02872164199652616,0.000966093000897672,0.015678750998631585,0.015010691997304093
20,0.00021827399905305356,0.02661170100327581,0.00103614399995422,0.016060318004747387,0.01551355700212298
21,0.00022847099899081513,0.027424697000242304,0.001000866002868861,0.016143490000104066,0.015398333998746239
22,0.0002445170030114241,0.025542465002217796,0.0010365400012233295,0.016188344998226967,0.015880509999988135
23,0.0002361349979764782,0.029163266997784376,0.0011484000060590915,0.01605036600085441,0.015509568998822942
24,0.00022431599791161716,0.027022384005249478,0.0009614160007913597,0.015680233998864423,0.015151977000641637
25,0.00022868400264997035,0.028702363000775222,0.0011455630010459572,0.015952996000123676,0.015201016001810785
26,0.0002251960031571798,0.026686110999435186,0.0010129090005648322,0.0161835280014202,0.015557047001493629
27,0.00022441500186687335,0.027757299998484086,0.001100835004763212,0.0165860490014893,0.015515336999669671
28,0.0002398550059297122,0.030368899999302812,0.001113878002797719,0.016027999001380522,0.015412726002978161
29,0.0002464889985276386,0.030615067000326235,0.0011560919956536964,0.015796326006238814,0.015519943000981584
30,0.0002473740023560822,0.031115867997868918,0.0010794069967232645,0.016668325995851774,0.01543471599870827
31,0.0002382019956712611,0.029554868997365702,0.0009503379988018423,0.015909728994301986,0.01558989699697122
32,0.00024305399711010978,0.031014740001410246,0.0009875839969026856,0.01570358299795771,0.015495480998652056
33,0.0002207120051025413,0.02919123000174295,0.001011329994071275,0.015646751002350356,0.015419846997247078
34,0.00022111400176072493,0.02958722599578323,0.0009953539993148297,0.01589193600375438,0.015454419997695368
35,0.0003052440006285906,0.02858351400209358,0.0011951249980484135,0.016529043998161796,0.015515115002926905
36,0.00022856600116938353,0.028582815000845585,0.0009343820056528784,0.015301070001441985,0.017322324005363043
37,0.00024324400146724656,0.032536776998313144,0.000982216006377712,0.015519757995207328,0.015596707002259791
38,0.000278961997537408,0.03271047100133728,0.0009589959954610094,0.015781751993927173,0.015527891999226995
39,0.0002208360019722022,0.035277382005006075,0.0009233800010406412,0.015514295002503786,0.01557840799796395
40,0.00020657099958043545,0.02957297100510914,0.0009098059963434935,0.015390544998808764,0.015591219002089929
41,0.0002180459996452555,0.033589629994821735,0.0010480080018169247,0.015771392994793132,0.015606264001689851
42,0.00022107599943410605,0.03387638300046092,0.0011412469975766726,0.015899265999905765,0.01551320400176337
43,0.00023095899814506993,0.036868291994323954,0.001267931998881977,0.01639904799958458,0.015779458000906743
44,0.0002489379985490814,0.03631266899901675,0.001151360003859736,0.016149506998772267,0.01565313200262608
45,0.00023683599283685908,0.03380066699901363,0.0010779980002553202,0.015926829000818543,0.01570212400110904
46,0.00024398999812547117,0.040840672998456284,0.0011669110026559792,0.015911084003164433,0.016140526000526734
47,0.0002437049988657236,0.04297170000063488,0.0010060970016638748,0.01599238500057254,0.01555258099688217
48,0.00022414999693864956,0.03474959299637703,0.0010182680052821524,0.015944893995765597,0.015956563998770434
49,0.0002479109971318394,0.03105750699614873,0.0011796749968198128,0.016436676000012085,0.015727001999039203
50,0.000248301999818068,0.03536918299505487,0.001091888996597845,0.016221130994381383,0.01585398799943505
51,0.0002713170033530332,0.03496012099640211,0.0013099710049573332,0.016636051004752517,0.015736553999886382
52,0.0002686459993128665,0.035973284000647254,0.0011601570004131645,0.016756076998717617,0.01596577100281138
53,0.0002584410030976869,0.034712726999714505,0.0011615269977482967,0.0163202440016903,0.01577202699991176
54,0.00023624899768037722,0.03645634499844164,0.001118716005294118,0.015982332995918114,0.01643609599705087
55,0.00023608100309502333,0.03824341200379422,0.0010502110017114319,0.016058345994679257,0.01606712800276
56,0.0002318840051884763,0.034844027999497484,0.0010878449975280091,0.01620972599630477,0.015799505003087688
57,0.00025669100432423875,0.03661863200250082,0.000995230999251362,0.016293264998239465,0.016145633002452087
58,0.00023542700364487246,0.03548766500171041,0.0010358720028307289,0.016307438003423158,0.016001247000531293
59,0.00024693199520697817,0.03902966100577032,0.0011117160029243678,0.016357686996343546,0.016172053998161573
60,0.00023246899945661426,0.040180121002777014,0.0010404210042906925,0.016269034997094423,0.01631961500243051
61,0.00022734400408808142,0.03928093500144314,0.000996294998913072,0.015926082000078168,0.015970047999871895
62,0.0002148850035155192,0.04326534699794138,0.0010075399986817501,0.015901620994554833,0.016062955000961665
63,0.00022198799706529826,0.04253166100534145,0.0010963769964291714,0.016075199004262686,0.016225634004513267
64,0.0002209490048699081,0.0544149080014904,0.0010605549978208728,0.016221406003751326,0.01622858699556673
65,0.00022366900520864874,0.04077824900014093,0.0009811339987209067,0.016005097997549456,0.016036001004977152
66,0.0002294629957759753,0.04815307699755067,0.0013838669983670115,0.016665736999129876,0.01629511400096817
67,0.0003027969942195341,0.04221079100534553,0.0014452960022026673,0.01665565300208982,0.01628011799766682
68,0.00027333199977874756,0.04949099399527768,0.0011617190029937774,0.01636562900239369,0.016241735000221524
69,0.00024511599622201174,0.05622452500392683,0.0012145319997216575,0.016412158001912758,0.017947425003512762
70,0.0002599870058475062,0.07570568699884461,0.0014186359985615127,0.016487414002767764,0.016309095000906382
71,0.0002878949962905608,0.05361871000059182,0.0010452639980940148,0.01624669000011636,0.01625813700229628
72,0.00023987099848454818,0.04429834299662616,0.0012675739999394864,0.016555428999708965,0.016585125005804002
73,0.0003030009975191206,0.04986360500333831,0.001262586003576871,0.017099128999689128,0.01648397700046189
74,0.0002816159976646304,0.04500249499687925,0.0012672169978031889,0.01597019500331953,0.016474151001602877
75,0.0002630620001582429,0.04253168200375512,0.0010727770059020258,0.015995872003259137,0.016411124997830484
76,0.00025947100220946595,0.05065162800019607,0.0011827229973278008,0.01600595399941085,0.016665099996316712
77,0.0002587330018286593,0.0399996049964102,0.0011878389996127225,0.01643753599637421,0.01645695600018371
78,0.0002400739977019839,0.042683582003519405,0.0010164199993596412,0.01576436299365014,0.016594540000369307
79,0.0002469239989295602,0.04346518899546936,0.0011118760012323037,0.016470208000100683,0.0165959500009194
80,0.00024425500305369496,0.04427102800400462,0.0011057070005335845,0.015965446997142863,0.01644191300147213
81,0.0002624500048113987,0.046739851000893395,0.001278309995541349,0.0162991890028934,0.016470590999233536
82,0.00025093700241995975,0.04347083000175189,0.0012718559955828823,0.016378061001887545,0.016797816002508625
83,0.00026822600193554536,0.04093373099749442,0.0012877879998995923,0.016453945994726382,0.01682018599967705
84,0.00027017899992642924,0.03954568500194,0.0012503629986895248,0.016506685002241284,0.016775831994891632
85,0.0003059430018765852,0.04566822999913711,0.0012089349984307773,0.01617095999972662,0.016648543998599052
86,0.0002798409987008199,0.047814309000386856,0.0013046370004303753,0.01669954299723031,0.017106719002185855
87,0.00032834900048328564,0.04685552699811524,0.0012189199987915345,0.01633276500069769,0.01680365400534356
88,0.00024188999668695033,0.04573814899777062,0.0009812249991227873,0.015862495005421806,0.016645961994072422
