Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA,93.33333333333333,93.33333333333333,0.8666666666666667,112,120
EEGNet,91.66666666666666,91.66666666666666,0.8333333333333334,110,120
EEGNet_BOTDA,90.0,90.0,0.8,108,120
EEGNet_FT,89.16666666666667,89.16666666666666,0.7833333333333333,107,120
CSP_LDA_BOTDA,88.33333333333333,88.33333333333333,0.7666666666666666,106,120
