Method,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,N_Targets
SC,62.5,10.455878577403087,49.166666666666664,80.83333333333333,7
SR,74.52380952380953,14.336220243995756,60.0,95.0,7
RPA,92.97619047619047,2.4743582965269675,90.0,97.5,7
EA,78.33333333333333,11.037454272856438,65.83333333333333,95.0,7
FOTDA-S,69.64285714285714,12.550352101374717,56.666666666666664,90.0,7
FOTDA-GL,71.07142857142857,17.893613550529462,46.666666666666664,93.33333333333333,7
BOTDA-S,71.54761904761905,16.21059674139167,55.00000000000001,94.16666666666667,7
BOTDA-GL,89.16666666666666,8.309489698388166,76.66666666666667,99.16666666666667,7
