Method,Accuracy,Correct,Total
Backward_GroupLasso,95.0,114,120
RPA,93.33333333333333,112,120
EU,76.66666666666667,92,120
Forward_Sinkhorn,66.66666666666666,80,120
SR,65.0,78,120
Forward_GroupLasso,64.16666666666667,77,120
Backward_Sinkhorn,64.16666666666667,77,120
SC,51.66666666666667,62,120
