Method,Accuracy,Correct,Total
Backward_GroupLasso,99.16666666666667,119,120
RPA,92.5,111,120
Forward_GroupLasso,87.5,105,120
SR,84.16666666666667,101,120
Backward_Sinkhorn,84.16666666666667,101,120
EU,84.16666666666667,101,120
SC,72.5,87,120
Forward_Sinkhorn,69.16666666666667,83,120
