,S1,S2,S5,S6,S7,S8,S9,Mean
SC,6.068754300940669e-05,5.1485766501476364e-05,5.2447551570367065e-05,8.40149223222325e-05,0.00011474476971973,9.863257776789473e-05,5.694726860383392e-05,7.413719992784876e-05
SR,0.2064510975241622,0.19512277497706237,0.1989569819464426,0.2179376042074485,0.23499372846708866,0.2380424829670422,0.19909422325242002,0.2129426990488095
RPA,4.0733568520687795,3.9716917920081567,3.9156644954739024,4.5471005242744775,4.13420917156424,4.384641337101251,3.8547505180404795,4.125916384361612
EA,0.3741905976077154,0.3540564128847715,0.3532879308908984,0.38861377992725465,0.4021297819184838,0.40736519442580177,0.3618062229177061,0.3773499886532331
FOTDA-S,0.00417470728425537,0.01838745349959931,0.001867893691814919,0.003226036117121066,0.014416913566916819,0.05337568605270155,0.052101501384943995,0.021078598799621862
FOTDA-GL,0.005746636158437416,0.007701591308189818,0.0016302770658512085,0.00401013572700317,0.00763406699600935,0.024490700729559906,0.013905537523290412,0.009302706501191612
BOTDA-S,0.018868296858757527,0.0011054770957949665,0.0011051965712491542,0.024059356247986777,0.002078194473384987,0.054488956304946094,0.0011154079649713358,0.014688697931012977
BOTDA-GL,0.024476241325707287,0.005711483302002255,0.015114919756888362,0.02421321111032735,0.015199621523788615,0.01954584404835861,0.028726878531839806,0.018998314228416042
