Method,Accuracy,Correct,Total
RPA,97.5,117,120
SR,95.0,114,120
Forward_GroupLasso,93.33333333333333,112,120
Backward_GroupLasso,91.66666666666666,110,120
Backward_Sinkhorn,90.83333333333333,109,120
EU,90.83333333333333,109,120
Forward_Sinkhorn,90.0,108,120
SC,80.83333333333333,97,120
