Method,Mean_Time,Std_Time,Min_Time,Max_Time
SC,7.413719992784876e-05,0.0001084802399429423,4.441698547452688e-05,0.0021242499933578
SR,0.2129426990488095,0.07347311014452769,0.1854923329665325,1.8989045830094256
RPA,4.125916384361612,0.816607129758171,3.43672495795181,9.52299283305183
EA,0.37734998865323305,0.06972767991418502,0.2448540000477805,0.7764565420220606
FOTDA-S,0.021078598799621862,0.02176690859149347,0.0013896250165998,0.1421322920359671
FOTDA-GL,0.009302706501191612,0.00803773103496538,0.0011323750368319,0.0520886249723844
BOTDA-S,0.014688697931012976,0.018986344570596596,0.0008673749980516,0.0846505829831585
BOTDA-GL,0.01899831422841604,0.008161185708849049,0.0036511659855023,0.0498114160145632
