Method,Accuracy,Correct,Total
RPA,92.5,111,120
Backward_GroupLasso,79.16666666666666,95,120
EU,65.83333333333333,79,120
SR,65.0,78,120
Forward_GroupLasso,60.0,72,120
SC,57.49999999999999,69,120
Forward_Sinkhorn,56.666666666666664,68,120
Backward_Sinkhorn,56.666666666666664,68,120
