trial,SC,SR,Forward_Sinkhorn,Forward_GroupLasso,Backward_Sinkhorn,Backward_GroupLasso,RPA,EU
1,4.6459026634693146e-05,0.20507779199397191,0.001414208032656461,0.0011323750368319452,0.0008791249711066484,0.010773625050205737,7.093361833016388,0.28011654200963676
2,5.820801015943289e-05,0.1904876669868827,0.0015321659739129245,0.0012020000140182674,0.0008709169924259186,0.00920562498504296,6.221878874988761,0.25546554097672924
3,4.675000673159957e-05,0.18657675001304597,0.0014021249953657389,0.0011408330174162984,0.0008880000095814466,0.009617124975193292,5.263588208996225,0.24485400004778057
4,6.275001214817166e-05,0.1879086249973625,0.0013936249888502061,0.0011570000206120312,0.0008837080094963312,0.009082790988031775,6.441674541973043,0.2626032499829307
5,4.5666994992643595e-05,0.1921896249987185,0.0013947919942438602,0.001139541040174663,0.0008778329938650131,0.008985124994069338,6.9437233750359155,0.2544542090035975
6,5.4709031246602535e-05,0.19379974994808435,0.0013896250165998936,0.0011522499844431877,0.0009057499701157212,0.008612624951638281,5.7671817090013064,0.2596645839512348
7,4.675000673159957e-05,0.18946104199858382,0.0017635839758440852,0.0012514580157585442,0.0009436249965801835,0.009504417015705258,6.447918749996461,0.25811212498228997
8,4.600000102072954e-05,0.18689824995817617,0.0014214999973773956,0.00117125001270324,0.0009114170097745955,0.00899716600542888,5.593956792028621,0.27835012500872836
9,5.1042006816715e-05,0.1922406250378117,0.0014023330295458436,0.001161124964710325,0.0009073329856619239,0.009395791974384338,5.216469999984838,0.2733346670283936
10,4.591705510392785e-05,0.18755429098382592,0.001504582993220538,0.001203874999191612,0.0009025830077007413,0.00920637499075383,4.538695709023159,0.26035683404188603
11,5.987501936033368e-05,0.1991375419893302,0.0014517080271616578,0.0011963750002905726,0.0009272919851355255,0.009922541968990117,5.4627340419683605,0.269302292028442
12,4.741700831800699e-05,0.19222491601249203,0.0014035829808562994,0.0011550000053830445,0.0009056659764610231,0.009400749986525625,4.725549458002206,0.2624897909699939
13,4.591699689626694e-05,0.20544333301950246,0.0014903749688528478,0.0011897500371560454,0.0009283329709433019,0.009149582998361439,5.105390416982118,0.2831103329663165
14,4.69580409117043e-05,0.1945937920245342,0.0014412500313483179,0.0011812079465016723,0.0009306659922003746,0.0095525830402039,4.983497291977983,0.29182441701414064
15,6.500002928078175e-05,0.3325016669696197,0.0014629170182161033,0.0011555419769138098,0.0009179589687846601,0.010054250014945865,4.9245746660162695,0.26533137500518933
16,4.854099825024605e-05,0.18774895899696276,0.0014266250072978437,0.001162166998255998,0.0009365830337628722,0.010511625034268945,4.908349416975398,0.2800891670049168
17,4.5666994992643595e-05,0.18929791601840407,0.0014426659909076989,0.0011808330309577286,0.0009498330182395875,0.009101958014070988,4.517582457978278,0.2838397919549607
18,5.5416952818632126e-05,0.19392166699981317,0.0014657090068794787,0.0011942919809371233,0.0009568340028636158,0.00982620898867026,4.203962333034724,0.2898369579925202
19,5.141703877598047e-05,0.18761662498582155,0.0017407910199835896,0.001324791053775698,0.0009425840107724071,0.009808333008550107,4.668343290977646,0.29060945799574256
20,4.7124980483204126e-05,0.18888245796551928,0.0015292500029318035,0.001194374985061586,0.0009456250118091702,0.0092751249903813,4.24638754199259,0.2855990409734659
21,4.783296026289463e-05,0.19167745800223202,0.0015078329597599804,0.0012007919722236693,0.0009807499591261148,0.009882749989628792,4.691567417001352,0.2923136659665033
22,5.312496796250343e-05,0.2012898750253953,0.0014855830231681466,0.001195583026856184,0.0009624160011298954,0.0089444579789415,4.362062540953048,0.2751445000176318
23,5.137501284480095e-05,0.19153675000416115,0.0015447500045411289,0.0012456660042516887,0.0009522499749436975,0.010379874962382019,4.37470874999417,0.2980421250103973
24,4.7459034249186516e-05,0.1870602499693632,0.001505041029304266,0.0011987920152023435,0.0009604590013623238,0.009414375002961606,4.162669249984901,0.2874497079756111
25,4.558300133794546e-05,0.18675566598540172,0.0014966250164434314,0.0012034170213155448,0.0009628330008126795,0.009632333007175475,4.22224454197567,0.2810162089881487
26,4.745804471895099e-05,0.19780533300945535,0.001486875000409782,0.0012257079943083227,0.0009668339625932276,0.00942166696768254,4.016220957972109,0.31546166603220627
27,4.820898175239563e-05,0.19412766699679196,0.0015132499975152314,0.0012294589541852474,0.0009676250047050416,0.009943499986547977,3.9277789159677923,0.2969117920147255
28,5.0125003326684237e-05,0.19187541597057134,0.0016788339708000422,0.0012790419859811664,0.000980541983153671,0.010677082987967879,4.079610791988671,0.29989729198860005
29,4.6833010856062174e-05,0.1963138339924626,0.0014808750129304826,0.0012039589928463101,0.0009707079734653234,0.010626124974805862,4.112188833008986,0.30418562499107793
30,4.8457994125783443e-05,0.19121033302508295,0.0014791659777984023,0.00120058300672099,0.0009689999860711396,0.010992416995577514,4.022387208009604,0.30985512502957135
31,6.433296948671341e-05,0.20680287497816607,0.0020532080088742077,0.0014078340027481318,0.0009983750060200691,0.010476124996785074,4.085504416958429,0.3252755830180831
32,5.925004370510578e-05,0.19429779198253527,0.0016365839983336627,0.0012724999687634408,0.0010132919996976852,0.011168375029228628,3.79684875003295,0.29747016599867493
33,4.541699308902025e-05,0.19377179100411013,0.001498041965533048,0.0012080830056220293,0.0009824169683270156,0.00997458299389109,3.671068291994743,0.2990651659783907
34,4.695798270404339e-05,0.19615641696145758,0.0015631249989382923,0.001219749974552542,0.0009913749527186155,0.010218416980933398,3.827663499978371,0.3000505829695612
35,4.7332956455647945e-05,0.1875029579969123,0.0015391249908134341,0.0012544579803943634,0.0010010409750975668,0.010120999999344349,3.6158354579820298,0.321335208020173
36,6.208295235410333e-05,0.19127058301819488,0.0016267920145764947,0.0012919579748995602,0.0010079999919980764,0.010090040974318981,3.6128990839933977,0.3180770000326447
37,4.691700451076031e-05,0.19156958302482963,0.0015108329826034606,0.0012362920097075403,0.00100620900047943,0.011665666999761015,3.541360834031366,0.32556249998742715
38,5.058397073298693e-05,0.2194633749895729,0.0015839170082472265,0.0012716659693978727,0.0010035420418716967,0.012038416985888034,3.8014580000308342,0.3160453329910524
39,4.5833003241568804e-05,0.188502624980174,0.001545499952044338,0.0012402919819578528,0.0010170000023208559,0.012040166009683162,3.6609699160326272,0.300932209007442
40,5.024997517466545e-05,0.1916994579951279,0.0015674160094931722,0.001257374999113381,0.0010405420325696468,0.01039120799396187,3.5794970840215683,0.31593141600023955
41,4.7250010538846254e-05,0.1975619169534184,0.0017573749646544456,0.001299541036132723,0.00103779201162979,0.01228095794795081,3.701297332998365,0.3103650000412017
42,4.737504059448838e-05,0.1914792909519747,0.0016169159789569676,0.0012520419550128281,0.0010359999723732471,0.0121411660220474,3.6799410000094213,0.3211512080160901
43,4.804198397323489e-05,0.19176541699562222,0.0016164169646799564,0.0012685420224443078,0.0010400420287624002,0.011774500017054379,3.603373999998439,0.31738016702001914
44,4.737504059448838e-05,0.18891516700387,0.0016585420235060155,0.0012724169646389782,0.0010344160255044699,0.012563875003252178,3.570729000028223,0.3220199169591069
45,5.050003528594971e-05,0.19210983399534598,0.0015674579772166908,0.0012732920004054904,0.001040959032252431,0.012165291991550475,3.5172340840217657,0.31226312497165054
46,4.841701593250036e-05,0.1991029999917373,0.001954208011738956,0.0014150000060908496,0.0010495829628780484,0.014948541997000575,3.7939843750209548,0.36023708299035206
47,6.34589814580977e-05,0.20411170896841213,0.001955667044967413,0.0014342910144478083,0.0010412500123493373,0.01577825000276789,3.554865207988769,0.33139954204671085
48,4.787504440173507e-05,0.194034666987136,0.001568291976582259,0.0012916660052724183,0.001066708005964756,0.012494832975789905,3.5553454580367543,0.31543291703565046
49,4.6833010856062174e-05,0.1883984999731183,0.0015706670237705112,0.0012740000383928418,0.0010607920121401548,0.011056209041271359,3.5563183749909513,0.31783950002864003
50,4.7499954234808683e-05,0.18772200000239536,0.0015605000080540776,0.001265500031877309,0.0010551250306889415,0.012702249980065972,3.5059244580334052,0.3284278749488294
51,4.82079922221601e-05,0.20112983300350606,0.0017061660182662308,0.0013087500119581819,0.0010960830259136856,0.012985041015781462,3.562435125000775,0.3382037919946015
52,4.720897413790226e-05,0.19246570899849758,0.001971124962437898,0.0014674169942736626,0.0010607920121401548,0.013184249983169138,3.5148035830352455,0.3282018750323914
53,4.75830165669322e-05,0.19635337498039007,0.0016623749979771674,0.0012934170081280172,0.0010615830542519689,0.012528249993920326,3.525528500031214,0.3239428329980001
54,4.720903234556317e-05,0.20317329105455428,0.001726916991174221,0.0013335419935174286,0.0011095409863628447,0.013354583003092557,3.5671524580102414,0.3458552500233054
55,4.999997327104211e-05,0.1995252919732593,0.001848165993578732,0.0013037080061621964,0.0010860419715754688,0.013947750034276396,3.504631165997125,0.34289808303583413
56,4.6707980800420046e-05,0.20709587499732152,0.0016869170358404517,0.001322916999924928,0.00109195796540007,0.01284179202048108,3.488996792002581,0.341516624961514
57,5.629099905490875e-05,0.20420379197457805,0.0016662920243106782,0.0012972080148756504,0.001077916007488966,0.013034416013397276,3.5219414169550873,0.3767910419846885
58,6.637501064687967e-05,0.21833462495123968,0.0022642079857178032,0.0014915000065229833,0.001086624979507178,0.012714000011328608,3.4849761659861542,0.3449622920015827
59,5.4500007536262274e-05,0.21737383300205693,0.0018057079869322479,0.001349999976810068,0.0011378750205039978,0.014477707969490439,3.477639040967915,0.33362429204862565
60,4.537496715784073e-05,0.18868812499567866,0.001731333031784743,0.0013097499613650143,0.0010835000430233777,0.014647167001385242,3.5329931249725632,0.36385349999181926
61,4.8625050112605095e-05,0.194135790981818,0.0018372079939581454,0.0013882910134270787,0.0011294169817119837,0.014531292021274567,3.5046582089853473,0.3487125830142759
