,S1,S2,S5,S6,S7,S8,S9,Mean,Std
SC,72.5,49.166666666666664,60.83333333333333,51.66666666666667,57.49999999999999,80.83333333333333,65.0,62.5,11.293639639031177
SR,84.16666666666667,60.0,60.0,65.0,65.0,95.0,92.5,74.52380952380953,15.484887666100327
RPA,92.5,90.0,90.0,93.33333333333331,92.5,97.5,95.0,92.97619047619047,2.6726124191242433
EA,84.16666666666667,65.83333333333333,70.0,76.66666666666667,65.83333333333333,90.83333333333331,95.0,78.33333333333333,11.921813185486075
FOTDA-S,69.16666666666667,58.333333333333336,60.0,66.66666666666666,56.666666666666664,90.0,86.66666666666667,69.64285714285714,13.55592960712129
FOTDA-GL,87.5,54.166666666666664,46.666666666666664,64.16666666666667,60.0,93.33333333333331,91.66666666666666,71.07142857142857,19.32731159641644
BOTDA-S,84.16666666666667,55.833333333333336,55.00000000000001,64.16666666666667,56.666666666666664,90.83333333333331,94.16666666666669,71.54761904761905,17.509445674569136
BOTDA-GL,99.16666666666669,76.66666666666667,85.0,95.0,79.16666666666666,91.66666666666666,97.5,89.16666666666666,8.97527467855751
