Method,Accuracy,Correct,Total
RPA,90.0,108,120
Backward_GroupLasso,76.66666666666667,92,120
EU,65.83333333333333,79,120
SR,60.0,72,120
Forward_Sinkhorn,58.333333333333336,70,120
Backward_Sinkhorn,55.833333333333336,67,120
Forward_GroupLasso,54.166666666666664,65,120
SC,49.166666666666664,59,120
