Target,CSP_LDA_BOTDA,CSP_LDA_BOTDA_Kappa,EEGNet_BOTDA,EEGNet_BOTDA_Kappa,CSP_LDA,CSP_LDA_Kappa,EEGNet_FT,EEGNet_FT_Kappa,EEGNet,EEGNet_Kappa
1,99.16666666666667,0.9833333333333333,73.33333333333333,0.4666666666666667,72.5,0.44999999999999996,65.83333333333333,0.31666666666666665,64.16666666666667,0.2833333333333333
2,76.66666666666667,0.5333333333333333,62.5,0.25,49.166666666666664,-0.016666666666666607,64.16666666666667,0.2833333333333333,50.83333333333333,0.01666666666666672
5,85.0,0.7,61.66666666666667,0.23333333333333328,60.83333333333333,0.21666666666666667,53.333333333333336,0.06666666666666665,50.0,0.0
6,95.0,0.9,62.5,0.25,51.66666666666667,0.033333333333333326,58.333333333333336,0.16666666666666663,51.66666666666667,0.033333333333333326
7,79.16666666666666,0.5833333333333333,59.166666666666664,0.18333333333333335,57.49999999999999,0.15000000000000002,59.166666666666664,0.18333333333333335,52.5,0.050000000000000044
8,91.66666666666666,0.8333333333333334,81.66666666666667,0.6333333333333333,80.83333333333333,0.6166666666666667,76.66666666666667,0.5333333333333333,74.16666666666667,0.4833333333333333
9,97.5,0.95,95.0,0.9,65.0,0.30000000000000004,56.666666666666664,0.1333333333333333,60.83333333333333,0.21666666666666667
