Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA_BOTDA,91.66666666666666,91.66666666666667,0.8333333333333334,110,120
EEGNet_BOTDA,81.66666666666667,81.66666666666667,0.6333333333333333,98,120
CSP_LDA,80.83333333333333,80.83333333333333,0.6166666666666667,97,120
EEGNet_FT,80.83333333333333,80.83333333333333,0.6166666666666667,97,120
EEGNet,79.16666666666666,79.16666666666666,0.5833333333333333,95,120
