Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
EEGNet_BOTDA,88.33333333333333,88.33333333333333,0.7666666666666666,106,120
EEGNet_FT,85.83333333333333,85.83333333333334,0.7166666666666667,103,120
EEGNet,85.83333333333333,85.83333333333334,0.7166666666666667,103,120
CSP_LDA_BOTDA,83.33333333333334,83.33333333333333,0.6666666666666667,100,120
CSP_LDA,76.66666666666667,76.66666666666666,0.5333333333333333,92,120
