Method,Accuracy,Balanced_Acc,Kappa,Correct,Total
CSP_LDA_BOTDA,91.66666666666666,91.66666666666666,0.8333333333333334,110,120
EEGNet_BOTDA,88.33333333333333,88.33333333333333,0.7666666666666666,106,120
EEGNet_FT,71.66666666666667,71.66666666666667,0.43333333333333335,86,120
EEGNet,68.33333333333333,68.33333333333333,0.3666666666666667,82,120
CSP_LDA,60.0,60.0,0.19999999999999996,72,120
