,S01,S02,S03,S05,S06,S07,S08,S09,Mean,Std
SC,88.33333333333334,54.16666666666667,93.33333333333333,67.5,62.499999999999986,77.49999999999999,92.5,90.0,78.22916666666666,15.18691414050633
SR,85.83333333333334,60.0,96.66666666666666,72.5,70.0,79.16666666666667,98.33333333333334,93.33333333333333,81.97916666666667,13.89399707650411
RPA,78.33333333333334,54.99999999999999,97.5,57.49999999999999,64.16666666666667,73.33333333333334,96.66666666666669,91.66666666666666,76.77083333333333,17.179245853507023
EA,88.33333333333331,55.833333333333336,97.5,67.5,67.5,85.0,96.66666666666669,90.0,81.04166666666666,15.428727585923442
FOTDA-S,83.33333333333334,58.333333333333336,95.0,75.0,66.66666666666666,72.5,96.66666666666666,89.16666666666666,79.58333333333333,13.758114488755872
FOTDA-GL,88.33333333333334,55.00000000000001,95.0,66.66666666666667,65.83333333333333,78.33333333333333,95.0,90.0,79.27083333333333,15.219540880170289
BOTDA-S,90.0,55.833333333333336,97.5,61.66666666666667,65.83333333333334,79.16666666666667,93.33333333333333,86.66666666666666,78.75,15.75481785722341
BOTDA-GL,83.33333333333334,59.166666666666664,96.66666666666669,63.33333333333333,65.83333333333333,75.83333333333333,95.83333333333333,85.83333333333334,78.22916666666667,14.532650022162745
