,1,2,3,4,5,Mean,Std
SC,79.16666666666667,80.20833333333333,81.77083333333334,77.60416666666666,72.39583333333334,78.22916666666667,3.5971451353816666
SR,82.8125,80.72916666666666,83.33333333333333,82.8125,80.20833333333334,81.97916666666667,1.4072141756360705
RPA,79.6875,78.125,79.6875,75.52083333333334,70.83333333333334,76.77083333333334,3.7304176207229087
EA,82.8125,84.375,79.16666666666666,81.25,77.60416666666666,81.04166666666666,2.721323016169407
FOTDA-S,80.72916666666666,83.33333333333334,78.64583333333334,81.25,73.95833333333334,79.58333333333334,3.5592394923478907
FOTDA-GL,80.72916666666666,82.29166666666666,81.25,76.5625,75.52083333333334,79.27083333333333,3.023526098687492
BOTDA-S,79.16666666666666,81.77083333333334,81.25,77.60416666666666,73.95833333333334,78.75,3.1552356730960325
BOTDA-GL,74.47916666666666,82.29166666666666,82.29166666666666,76.5625,75.52083333333333,78.22916666666666,3.7809773776836515
