run,SC,SR,Forward_Sinkhorn,Forward_GroupLasso,Backward_Sinkhorn,Backward_GroupLasso,RPA,EU
1,0.00016854199930094182,0.20538312499411404,4.1430927489709575,28.14768108300632,3.4507635420304723,24.668664499971783,5.730868834012654,0.2798332089732867
2,7.12500186637044e-05,0.22298137500183657,5.644291000004159,28.74715454201214,4.618800750002265,26.653407959005563,4.006207041995367,0.31405087499297224
3,8.516697562299669e-05,0.22170629200991243,9.259908209001878,37.62989795897738,7.4807814990053885,35.09935258302721,3.8440840839757584,0.35507091699400917
4,8.49170028232038e-05,0.24595120901358314,12.211370500008343,44.18511145899538,10.07777083403198,43.164085999975214,3.814025166997453,0.39996624999912456
5,0.0001203749852720648,0.2232077500084415,17.00690945799579,52.08418920802069,15.697662749997107,50.497078708023764,3.6808449589880183,0.4478019999805838
