run,SC,SR,Forward_Sinkhorn,Forward_GroupLasso,Backward_Sinkhorn,Backward_GroupLasso,RPA,EU
1,0.9583333333333334,0.9166666666666666,0.875,0.9583333333333334,0.875,0.7916666666666666,0.875,0.9166666666666666
2,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.875,0.9583333333333334
3,0.9583333333333334,0.875,0.8333333333333334,0.9166666666666666,1.0,0.875,0.8333333333333334,0.9166666666666666
4,0.875,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.625,0.875
5,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.75
