run,SC,SR,Forward_Sinkhorn,Forward_GroupLasso,Backward_Sinkhorn,Backward_GroupLasso,RPA,EU
1,0.625,0.7083333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.625,0.5416666666666666
2,0.625,0.625,0.6666666666666666,0.625,0.5833333333333334,0.7083333333333334,0.5,0.6666666666666666
3,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
4,0.75,0.875,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.7916666666666666
5,0.6666666666666666,0.75,0.7916666666666666,0.75,0.5416666666666666,0.6666666666666666,0.5,0.7083333333333334
